Date,Close,Volume,Open,High,Low
04/23/2025,$204.60,52929170,$206.00,$208.00,$202.799
04/22/2025,$199.74,52976370,$196.12,$201.59,$195.97
04/21/2025,$193.16,46742540,$193.265,$193.80,$189.8112
04/17/2025,$196.98,52164680,$197.20,$198.8335,$194.42
04/16/2025,$194.27,59732420,$198.36,$200.70,$192.37
04/15/2025,$202.14,51343870,$201.855,$203.51,$199.80
04/14/2025,$202.52,101352900,$211.44,$212.94,$201.1621
04/11/2025,$198.15,87435920,$186.10,$199.54,$186.06
04/10/2025,$190.42,121880000,$189.065,$194.7799,$183.00
04/09/2025,$198.85,184395900,$171.95,$200.61,$171.89
04/08/2025,$172.42,120859500,$186.70,$190.335,$169.2101
04/07/2025,$181.46,160466300,$177.20,$194.15,$174.62
04/04/2025,$188.38,125910900,$193.89,$199.88,$187.34
04/03/2025,$203.19,103419000,$205.54,$207.49,$201.25
04/02/2025,$223.89,35905900,$221.315,$225.19,$221.02
04/01/2025,$223.19,36412740,$219.805,$223.68,$218.90
03/31/2025,$222.13,65299320,$217.005,$225.62,$216.23
03/28/2025,$217.90,39818620,$221.67,$223.81,$217.68
03/27/2025,$223.85,37094770,$221.39,$224.99,$220.5601
03/26/2025,$221.53,34532660,$223.51,$225.02,$220.47
03/25/2025,$223.75,34493580,$220.77,$224.10,$220.08
03/24/2025,$220.73,44299480,$221.00,$221.48,$218.58
